,state_alpha,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
10,GA,"[387.53, 454.24, 547.49, 718.74, 826.35]","[388.84, 457.01, 549.91, 722.64, 831.6]","[446.86, 488.78, 560.58, 721.06, 815.44]","[466.39, 510.79, 584.93, 752.97, 851.83]","[474.33, 519.16, 594.46, 765.18, 866.03]","[510.87, 559.52, 640.71, 824.97, 933.75]","[528.49, 578.52, 662.43, 852.82, 965.16]","[545.84, 597.63, 684.21, 880.7, 996.7]","[537.26, 588.18, 673.53, 867.1, 981.45]","[526.89, 572.64, 658.96, 839.57, 946.48]","[527.58, 562.83, 703.14, 940.26, 1091.99]","[561.11, 597.57, 746.86, 999.37, 1159.14]","[543.52, 579.7, 723.72, 968.27, 1124.96]","[583.79, 619.79, 766.09, 1026.67, 1221.77]","[591.4, 621.95, 760.75, 1023.08, 1217.5]","[629.22, 657.97, 801.74, 1073.89, 1275.62]"
11,HI,"[649.25, 848.0, 1013.75, 1339.0, 1506.25]","[660.5, 861.25, 1030.5, 1361.75, 1532.5]","[670.8, 767.6, 908.2, 1235.0, 1429.6]","[811.0, 927.6, 1098.8, 1495.4, 1730.8]","[843.8, 965.2, 1143.6, 1557.2, 1802.0]","[924.6, 1059.0, 1254.0, 1714.2, 1982.0]","[1003.2, 1148.0, 1359.4, 1855.6, 2146.8]","[1060.8, 1213.8, 1437.2, 1961.2, 2269.0]","[1098.8, 1257.0, 1488.4, 2030.4, 2349.0]","[1103.4, 1269.4, 1522.0, 2047.6, 2258.6]","[1059.8, 1170.0, 1512.6, 2092.0, 2393.0]","[926.6, 1021.2, 1325.2, 1842.0, 2105.6]","[990.4, 1103.4, 1420.4, 1965.6, 2249.2]","[903.6, 1056.0, 1338.6, 1875.0, 2161.6]","[982.4, 1137.8, 1451.0, 2024.0, 2447.0]","[1177.2, 1371.2, 1753.0, 2451.6, 2934.6]"
12,ID,"[330.91, 383.5, 491.73, 657.52, 778.2]","[337.5, 390.93, 502.14, 671.18, 794.84]","[415.41, 463.48, 568.95, 789.32, 910.73]","[440.89, 490.16, 598.55, 831.5, 956.34]","[454.73, 505.36, 617.32, 857.52, 986.55]","[474.34, 526.93, 644.07, 894.11, 1029.36]","[494.3, 549.52, 671.25, 932.2, 1072.55]","[511.02, 567.8, 693.95, 963.43, 1108.95]","[514.73, 571.86, 698.93, 970.25, 1117.07]","[457.93, 503.0, 624.09, 867.07, 989.0]","[472.39, 518.07, 661.75, 938.55, 1121.23]","[488.36, 534.66, 682.82, 969.43, 1158.25]","[497.16, 544.43, 695.2, 987.14, 1179.68]","[512.52, 550.64, 710.32, 975.48, 1200.52]","[534.48, 579.8, 746.48, 1029.43, 1261.14]","[553.43, 601.32, 776.32, 1071.07, 1285.61]"
13,IL,"[347.52, 402.84, 514.23, 672.73, 756.36]","[349.26, 405.0, 516.82, 675.63, 759.72]","[401.21, 453.1, 559.77, 724.3, 806.92]","[426.08, 481.36, 591.78, 766.69, 857.42]","[430.73, 485.98, 598.33, 776.3, 867.75]","[449.27, 506.74, 623.96, 809.61, 904.69]","[467.67, 527.56, 649.45, 842.65, 941.75]","[479.31, 541.22, 666.95, 865.63, 968.86]","[483.92, 546.36, 673.42, 874.04, 978.05]","[490.79, 555.01, 683.52, 884.06, 991.47]","[469.81, 550.38, 704.95, 933.55, 1068.6]","[494.81, 580.13, 741.89, 982.53, 1125.17]","[494.85, 580.62, 742.8, 983.84, 1126.17]","[503.57, 583.95, 751.59, 982.65, 1122.78]","[536.07, 615.15, 783.38, 1025.49, 1172.82]","[552.54, 630.85, 801.6, 1051.64, 1192.45]"
14,IN,"[357.25, 421.7, 532.9, 687.52, 763.95]","[358.38, 422.61, 534.65, 689.29, 766.79]","[431.08, 479.45, 593.18, 759.82, 837.82]","[442.34, 493.76, 610.01, 781.63, 861.23]","[453.54, 506.35, 625.62, 801.49, 883.62]","[480.87, 536.96, 663.36, 850.12, 937.39]","[496.17, 553.87, 684.33, 876.8, 966.9]","[503.82, 562.46, 694.82, 890.23, 981.7]","[511.3, 570.95, 705.25, 903.82, 996.68]","[497.25, 553.88, 682.76, 876.8, 956.48]","[459.01, 540.13, 696.92, 923.53, 1037.93]","[468.99, 552.27, 712.12, 944.14, 1061.07]","[480.39, 565.46, 729.22, 967.32, 1087.04]","[509.07, 582.34, 747.41, 982.77, 1117.54]","[530.38, 605.39, 768.92, 1013.35, 1148.22]","[555.62, 629.83, 798.3, 1052.12, 1183.48]"
15,IA,"[312.4, 387.62, 486.58, 621.35, 691.28]","[313.25, 388.7, 487.11, 622.71, 692.73]","[374.84, 419.35, 529.57, 678.44, 752.51]","[398.74, 443.91, 559.42, 717.51, 797.11]","[403.19, 449.31, 566.17, 726.13, 806.93]","[416.02, 463.68, 584.25, 749.43, 832.79]","[425.76, 474.44, 597.79, 766.81, 851.99]","[431.25, 480.63, 605.63, 776.92, 863.15]","[437.16, 487.14, 613.78, 787.27, 874.9]","[420.86, 467.96, 595.22, 758.9, 833.92]","[413.69, 477.66, 612.2, 820.68, 918.37]","[437.76, 505.24, 647.23, 868.07, 972.14]","[443.28, 511.85, 655.51, 879.51, 983.99]","[470.07, 527.76, 681.12, 904.85, 998.66]","[490.75, 548.73, 705.16, 938.2, 1040.31]","[504.59, 561.15, 722.38, 959.86, 1062.01]"
16,KS,"[319.52, 365.14, 466.21, 607.92, 678.65]","[319.94, 364.9, 466.9, 608.13, 678.95]","[385.51, 419.07, 524.31, 683.02, 764.04]","[412.06, 447.07, 557.8, 723.72, 808.01]","[414.14, 449.4, 560.28, 726.95, 811.53]","[426.35, 462.39, 576.4, 748.12, 834.77]","[444.04, 481.9, 600.64, 779.5, 869.98]","[462.36, 500.86, 624.45, 811.2, 904.88]","[469.69, 508.68, 634.39, 823.95, 919.19]","[443.49, 479.77, 602.55, 779.77, 860.1]","[398.68, 469.04, 608.12, 818.18, 926.7]","[447.33, 527.53, 682.9, 919.62, 1038.31]","[451.51, 532.47, 688.92, 927.42, 1047.03]","[499.98, 551.94, 716.03, 948.37, 1077.56]","[525.83, 577.34, 742.27, 984.01, 1117.9]","[538.72, 592.09, 759.84, 1005.8, 1142.94]"
17,KY,"[306.08, 361.77, 448.82, 585.6, 659.09]","[306.56, 363.0, 449.49, 586.5, 660.77]","[371.75, 408.05, 494.93, 644.82, 710.11]","[389.8, 431.46, 523.98, 685.92, 753.92]","[398.66, 440.97, 535.95, 701.34, 770.8]","[436.59, 482.78, 586.77, 767.94, 843.97]","[447.57, 494.78, 601.3, 786.81, 864.9]","[450.78, 498.55, 605.8, 792.77, 871.36]","[452.18, 500.17, 607.88, 795.73, 874.4]","[426.48, 474.02, 575.98, 747.95, 822.07]","[442.01, 483.79, 620.17, 840.78, 939.6]","[459.12, 502.64, 642.98, 872.46, 973.83]","[460.48, 504.72, 646.1, 877.43, 979.88]","[494.7, 551.66, 703.08, 941.39, 1064.62]","[495.95, 552.46, 697.52, 936.71, 1063.12]","[503.76, 561.52, 708.67, 947.71, 1074.65]"
18,LA,"[342.12, 382.61, 474.66, 632.81, 728.12]","[342.23, 383.5, 475.73, 633.69, 729.66]","[406.97, 430.14, 510.17, 649.94, 735.88]","[471.67, 502.59, 596.41, 768.02, 856.55]","[481.5, 513.2, 609.16, 784.48, 875.42]","[510.28, 543.39, 645.11, 830.67, 926.34]","[533.88, 567.98, 674.61, 868.41, 968.67]","[560.22, 595.83, 707.78, 911.16, 1015.86]","[573.09, 609.53, 724.09, 932.08, 1038.92]","[536.66, 578.92, 685.45, 879.97, 970.66]","[530.78, 587.47, 734.08, 963.17, 1106.66]","[556.39, 614.28, 767.73, 1010.14, 1158.83]","[547.45, 605.0, 755.86, 993.44, 1139.48]","[544.08, 607.62, 752.05, 982.77, 1151.17]","[570.58, 634.64, 780.45, 1026.67, 1197.66]","[607.95, 673.83, 823.66, 1081.17, 1251.56]"
19,ME,"[423.32, 503.14, 643.0, 825.77, 942.91]","[430.68, 512.0, 654.32, 840.55, 959.64]","[472.68, 542.23, 667.0, 853.14, 959.36]","[463.81, 526.75, 635.49, 821.12, 925.85]","[487.73, 553.94, 668.51, 864.19, 973.61]","[522.55, 593.77, 716.51, 925.9, 1043.79]","[525.87, 597.23, 720.74, 931.33, 1049.81]","[559.6, 635.61, 766.97, 991.1, 1117.41]","[565.8, 642.63, 775.42, 1002.08, 1129.65]","[522.96, 599.56, 724.03, 934.26, 1051.37]","[578.43, 648.74, 795.97, 1042.99, 1166.73]","[576.56, 647.08, 793.85, 1040.64, 1164.23]","[591.25, 662.72, 813.02, 1065.4, 1190.15]","[595.47, 658.78, 808.59, 1052.32, 1176.79]","[637.75, 689.51, 838.84, 1096.95, 1224.12]","[664.47, 709.07, 865.77, 1136.39, 1273.87]"
